"Poll No.", Rejected, Unmarked, Declined, "Total Voter Turnout", "Names On List Of Electors", "Voting Place Address Or Location", "Electoral District"
001, 0, 0, 1, 182, 324, "Claremont Community Centre"
002, 1, 0, 0, 236, 443, "Claremont Community Centre"
003, 0, 0, 0, 114, 267, "Claremont Community Centre"
004, 0, 0, 0, 194, 373, "Claremont Community Centre"
005, 0, 0, 0, 179, 343, "Valley View Public School"
006, 0, 0, 0, 0, 0, "NO POLL HELD"
007, 0, 0, 0, 131, 302, "Claremont Community Centre"
008, 0, 0, 0, 99, 198, "Valley View Public School"
009, 0, 0, 0, 214, 430, "Valley View Public School"
010, 0, 0, 0, 0, 0, "NO POLL HELD"
011, 0, 0, 0, 185, 489, "Notre Dame Catholic Secondary School"
012, 0, 0, 0, 89, 233, "Notre Dame Catholic Secondary School"
013, 0, 0, 0, 0, 0, "NO POLL HELD"
014, 1, 0, 0, 177, 500, "J. Clarke Richardson Collegiate"
015, 0, 0, 0, 189, 558, "J. Clarke Richardson Collegiate"
016, 2, 0, 0, 104, 292, "J. Clarke Richardson Collegiate"
017A, 0, 0, 0, 115, 329, "Notre Dame Catholic Secondary School"
017B, 0, 0, 0, 119, 344, "Notre Dame Catholic Secondary School"
018A, 0, 0, 0, 152, 357, "Notre Dame Catholic Secondary School"
018B, 0, 0, 0, 130, 347, "Notre Dame Catholic Secondary School"
018C, 0, 0, 0, 188, 426, "Notre Dame Catholic Secondary School"
019, 0, 0, 0, 175, 413, "Notre Dame Catholic Secondary School"
020, 0, 0, 0, 187, 463, "J. Clarke Richardson Collegiate"
021, 1, 0, 0, 179, 394, "J. Clarke Richardson Collegiate"
022, 0, 0, 0, 112, 344, "J. Clarke Richardson Collegiate"
023A, 0, 0, 0, 89, 291, "J. Clarke Richardson Collegiate"
023B, 1, 1, 0, 122, 287, "J. Clarke Richardson Collegiate"
024, 0, 0, 0, 85, 178, "Herongate Barn Theatre"
025, 0, 0, 0, 63, 173, "St. Wilfrid Catholic School"
026, 2, 1, 0, 161, 440, "Alexander Graham Bell Public School"
027, 0, 0, 0, 80, 242, "Alexander Graham Bell Public School"
028, 0, 0, 0, 174, 477, "Notre Dame Catholic Secondary School"
029, 0, 0, 0, 168, 470, "Alexander Graham Bell Public School"
030, 0, 0, 0, 132, 404, "Notre Dame Catholic Secondary School"
031, 0, 0, 0, 139, 395, "Notre Dame Catholic Secondary School"
032, 0, 1, 0, 200, 431, "Lester B. Pearson Public School"
033, 0, 0, 1, 152, 374, "Notre Dame Catholic Secondary School"
034s, 1, 2, 0, 34, 101, "Winbourne Park Long Term Care Centre"
035, 0, 1, 0, 199, 429, "Lester B. Pearson Public School"
036, 0, 0, 0, 136, 366, "Notre Dame Catholic Secondary School"
037, 0, 0, 0, 136, 379, "Lester B. Pearson Public School"
038, 0, 0, 0, 170, 397, "J. Clarke Richardson Collegiate"
039, 5, 0, 0, 126, 393, "Lester B. Pearson Public School"
040, 0, 0, 0, 176, 424, "J. Clarke Richardson Collegiate"
041, 0, 0, 0, 187, 446, "Mother Teresa Catholic School"
042, 0, 0, 0, 217, 495, "Dr. Roberta Bondar Public School"
043, 1, 0, 1, 131, 329, "J. Clarke Richardson Collegiate"
044, 1, 0, 0, 139, 346, "Mother Teresa Catholic School"
045, 0, 0, 2, 147, 329, "Mother Teresa Catholic School"
046, 0, 0, 0, 144, 384, "Dr. Roberta Bondar Public School"
047, 0, 0, 0, 162, 379, "Mother Teresa Catholic School"
048, 0, 0, 0, 94, 289, "Cadarackque Public School"
049, 1, 0, 0, 188, 476, "Cadarackque Public School"
050, 0, 0, 2, 230, 446, "St. Wilfrid Catholic School"
051, 1, 1, 0, 236, 505, "Eagle Ridge Public School"
052, 0, 0, 0, 185, 429, "St. Patrick Catholic School"
053, 1, 0, 0, 182, 440, "St. Patrick Catholic School"
054, 0, 0, 0, 195, 406, "Eagle Ridge Public School"
055, 0, 0, 0, 207, 459, "St. Patrick Catholic School"
056, 0, 1, 0, 192, 428, "St. Patrick Catholic School"
